Symbol,Name,Sector,Market Cap
KRN.DE,Stock MDAX (Mid),Unknown,500000000
LXS.DE,Stock MDAX (Mid),Unknown,500000000
LEG.DE,Stock MDAX (Mid),Unknown,500000000
NEM.DE,Stock MDAX (Mid),Unknown,500000000
NDX1.DE,Stock MDAX (Mid),Unknown,500000000
PUM.DE,Stock MDAX (Mid),Unknown,500000000
RAA.DE,Stock MDAX (Mid),Unknown,500000000
RDC.DE,Stock MDAX (Mid),Unknown,500000000
RRTL.DE,Stock MDAX (Mid),Unknown,500000000
WAF.DE,Stock MDAX (Mid),Unknown,500000000
STM.DE,Stock MDAX (Mid),Unknown,500000000
SAX.DE,Stock MDAX (Mid),Unknown,500000000
TEG.DE,Stock MDAX (Mid),Unknown,500000000
TLX.DE,Stock MDAX (Mid),Unknown,500000000
TMV.DE,Stock MDAX (Mid),Unknown,500000000
TKA.DE,Stock MDAX (Mid),Unknown,500000000
8TRA.DE,Stock MDAX (Mid),Unknown,500000000
TUI1.DE,Stock MDAX (Mid),Unknown,500000000
UTDI.DE,Stock MDAX (Mid),Unknown,500000000
WCH.DE,Stock MDAX (Mid),Unknown,500000000
III.L,Stock FTSE 100,Unknown,500000000
ADM.L,Stock FTSE 100,Unknown,500000000
AAF.L,Stock FTSE 100,Unknown,500000000
ALW.L,Stock FTSE 100,Unknown,500000000
AAL.L,Stock FTSE 100,Unknown,500000000
ANTO.L,Stock FTSE 100,Unknown,500000000
AHT.L,Stock FTSE 100,Unknown,500000000
ABF.L,Stock FTSE 100,Unknown,500000000
AZN.L,Stock FTSE 100,Unknown,500000000
AUTO.L,Stock FTSE 100,Unknown,500000000
AV.L,Stock FTSE 100,Unknown,500000000
BAB.L,Stock FTSE 100,Unknown,500000000
BA.L,Stock FTSE 100,Unknown,500000000
BARC.L,Stock FTSE 100,Unknown,500000000
BTRW.L,Stock FTSE 100,Unknown,500000000
BEZ.L,Stock FTSE 100,Unknown,500000000
BKG.L,Stock FTSE 100,Unknown,500000000
BP.L,Stock FTSE 100,Unknown,500000000
BATS.L,Stock FTSE 100,Unknown,500000000
BLND.L,Stock FTSE 100,Unknown,500000000
BT-A.L,Stock FTSE 100,Unknown,500000000
BNZL.L,Stock FTSE 100,Unknown,500000000
BRBY.L,Stock FTSE 100,Unknown,500000000
CNA.L,Stock FTSE 100,Unknown,500000000
CCEP.L,Stock FTSE 100,Unknown,500000000
CCH.L,Stock FTSE 100,Unknown,500000000
CPG.L,Stock FTSE 100,Unknown,500000000
CTEC.L,Stock FTSE 100,Unknown,500000000
CRDA.L,Stock FTSE 100,Unknown,500000000
DCC.L,Stock FTSE 100,Unknown,500000000
DGE.L,Stock FTSE 100,Unknown,500000000
DPLM.L,Stock FTSE 100,Unknown,500000000
EDV.L,Stock FTSE 100,Unknown,500000000
ENT.L,Stock FTSE 100,Unknown,500000000
EZJ.L,Stock FTSE 100,Unknown,500000000
EXPN.L,Stock FTSE 100,Unknown,500000000
FCIT.L,Stock FTSE 100,Unknown,500000000
FRES.L,Stock FTSE 100,Unknown,500000000
GAW.L,Stock FTSE 100,Unknown,500000000
GLEN.L,Stock FTSE 100,Unknown,500000000
GSK.L,Stock FTSE 100,Unknown,500000000
HLN.L,Stock FTSE 100,Unknown,500000000
